Aaron Cresswell,32,629712000,England,Defender,West Ham United,1589,1,N/A,0,0,0,1,0
Aaron Lennon,35,545554800,England,Midfielder,Burnley,1217,1,N/A,1,0,0,1,0
Aaron Mooy,32,653382000,Australia,Midfielder,Huddersfield Town,2327,1,N/A,3,1,0,4,0
Aaron Ramsey,31,662198400,Wales,Midfielder,Arsenal,1327,6,N/A,4,0,0,0,0
Aaron Rowe,22,968310000,England,Forward,Huddersfield Town,69,0,N/A,0,0,0,0,0
Aaron Wan-Bissaka,24,880531200,England,Midfielder,Crystal Palace,3135,3,N/A,0,0,0,5,1
Abdelhamid Sabiri,25,849168000,Morocco,Midfielder,Huddersfield Town,49,0,N/A,0,0,0,0,0
Abdoulaye Doucouré,29,725875200,France,Midfielder,Watford,3062,6,N/A,5,0,0,7,0
Aboubakar Kamara,27,794563200,France,Forward,Fulham,687,0,N/A,3,1,1,2,0
Adalberto Peñaranda Maestre,25,865062000,Venezuela,Forward,Watford,0,0,N/A,0,0,0,0,0
Adam David Lallana,34,579250800,England,Midfielder,Liverpool,465,0,N/A,0,0,0,1,0
Adam Masina,28,757497600,Italy,Defender,Watford,1003,1,N/A,0,0,0,5,0
Adam Smith,31,672908400,England,Defender,AFC Bournemouth,2073,1,N/A,1,0,0,6,1
Adama Diakhaby,26,836550000,France,Forward,Huddersfield Town,551,0,N/A,0,0,0,1,0
Adama Traoré Diarra,26,822556800,Spain,Midfielder,Wolverhampton Wanderers,890,1,N/A,1,0,0,1,0
Ademola Lookman,25,877330800,England,Forward,Everton,601,2,N/A,0,0,0,0,0
Adrian Mariappa,36,528706800,Jamaica,Defender,Watford,1921,0,N/A,0,0,0,3,0
Adrián San Miguel del Castillo,35,536659200,Spain,Goalkeeper,West Ham United,0,0,N/A,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,605952000,Portugal,Midfielder,Leicester City,88,0,N/A,0,0,0,0,0
Ainsley Maitland-Niles,25,872838000,England,Midfielder,Arsenal,985,1,N/A,1,0,0,3,1
Alberto Moreno,30,710319600,Spain,Defender,Liverpool,155,0,N/A,0,0,0,0,0
Aleksandar Mitrović,28,779698800,Serbia,Forward,Fulham,3282,3,N/A,11,1,0,7,0
