Juan,45,hoy,Chapin,Portero,Rojos Cremas,0,0,0,0,0,0,0,0
Aaron Ramsey,31,1990/12/26,Wales,Midfielder,Arsenal,1327,6,0,4,0,0,0,0
Aaron Rowe,22,2000/09/07,England,Forward,Huddersfield Town,69,0,0,0,0,0,0,0
Aaron Wan Bissaka,24,1997/11/26,England,Midfielder,Crystal Palace,3135,3,0,0,0,0,5,1
Abdelhamid Sabiri,25,1996/11/28,Morocco,Midfielder,Huddersfield Town,49,0,0,0,0,0,0,0
Abdoulaye Doucouré,29,1993/01/01,France,Midfielder,Watford,3062,6,0,5,0,0,7,0
Aboubakar Kamara,27,1995/03/07,France,Forward,Fulham,687,0,0,3,1,1,2,0
Adalberto Peñaranda Maestre,25,1997/05/31,Venezuela,Forward,Watford,0,0,0,0,0,0,0,0
Adam David Lallana,34,1988/05/10,England,Midfielder,Liverpool,465,0,0,0,0,0,1,0
Adam Masina,28,1994/01/02,Italy,Defender,Watford,1003,1,0,0,0,0,5,0
Adam Smith,31,1991/04/29,England,Defender,AFC Bournemouth,2073,1,0,1,0,0,6,1
Adama Diakhaby,26,1996/07/05,France,Forward,Huddersfield Town,551,0,0,0,0,0,1,0
Adama Traoré Diarra,26,1996/01/25,Spain,Midfielder,Wolverhampton Wanderers,890,1,0,1,0,0,1,0
Ademola Lookman,25,1997/10/20,England,Forward,Everton,601,2,0,0,0,0,0,0
Adrian Mariappa,36,1986/10/03,Jamaica,Defender,Watford,1921,0,0,0,0,0,3,0
Adrián San Miguel del Castillo,35,1987/01/03,Spain,Goalkeeper,West Ham United,0,0,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,1989/03/15,Portugal,Midfielder,Leicester City,88,0,0,0,0,0,0,0
Ainsley Maitland Niles,25,1997/08/29,England,Midfielder,Arsenal,985,1,0,1,0,0,3,1
Alberto Moreno,30,1992/07/05,Spain,Defender,Liverpool,155,0,0,0,0,0,0,0
Aleksandar Mitrović,28,1994/09/16,Serbia,Forward,Fulham,3282,3,0,11,1,0,7,0
Alex Iwobi,26,1996/05/03,Nigeria,Forward,Arsenal,1972,6,0,3,0,0,0,0
Alex McCarthy,32,1989/12/03,England,Goalkeeper,Southampton,2250,0,0,0,0,0,1,0
Alex Oxlade Chamberlain,29,1993/08/15,England,Midfielder,Liverpool,19,0,0,0,0,0,0,0
Alex Pritchard,29,1993/05/03,England,Midfielder,Huddersfield Town,2092,0,0,2,0,0,2,0
Alex Smithies,32,1990/03/05,England,Goalkeeper,Cardiff City,0,0,0,0,0,0,0,0
Alexander Sørloth,26,1995/12/05,Norway,Forward,Crystal Palace,173,0,0,0,0,0,0,0
Alexandre Lacazette,31,1991/05/28,France,Forward,Arsenal,2503,8,0,13,0,0,2,0
Alexandre Nascimento Costa Silva,25,1997/03/16,Portugal,Forward,West Ham United,17,0,0,0,0,0,0,0
Alexis Sanchez,33,1988/12/19,Chile,Forward,Manchester United,877,3,0,1,0,0,3,0
Alfie Jones,25,1997/10/07,England,Defender,Southampton,0,0,0,0,0,0,0,0
Alfie Mawson,28,1994/01/19,England,Defender,Fulham,1131,0,0,0,0,0,2,0
Alfie Whiteman,24,1998/10/02,England,Goalkeeper,Tottenham Hotspur,0,0,0,0,0,0,0,0
Ali Koiki,22,2000/08/22,England,Defender,Burnley,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,29,1993/08/11,Iran,Forward,Brighton & Hove Albion,1022,0,0,0,0,0,2,0
Alisson Becker,30,1992/10/02,Brazil,Goalkeeper,Liverpool,3420,0,0,0,0,0,1,0
Alvaro Morata,30,1992/10/23,Spain,Forward,Chelsea,943,0,0,5,0,0,3,0
Ander Herrera,33,1989/08/14,Spain,Midfielder,Manchester United,1404,3,0,2,0,0,4,0
André Filipe Tavares Gomes,29,1993/07/30,Portugal,Midfielder,Everton,1986,1,0,1,0,0,7,0
Andre Gray,31,1991/06/26,England,Forward,Watford,1358,2,0,7,0,0,2,0
André Schürrle,31,1990/11/06,Germany,Midfielder,Fulham,1650,0,0,6,0,0,2,0
André Frank Zambo Anguissa,26,1995/11/16,Cameroon,Midfielder,Fulham,1518,0,0,0,0,0,3,1
Andreas Christensen,26,1996/04/10,Denmark,Defender,Chelsea,615,0,0,0,0,0,1,0
Andreas Pereira,26,1996/01/01,Brazil,Midfielder,Manchester United,595,1,0,1,0,0,5,0
Andrew Robertson,28,1994/03/11,Scotland,Defender,Liverpool,3219,11,0,0,0,0,4,0
Andrew Surman,36,1986/08/20,England,Midfielder,AFC Bournemouth,1438,0,0,0,0,0,2,0
Andriy Yarmolenko,33,1989/10/23,Ukraine,Forward,West Ham United,459,0,0,2,0,0,2,0
Andros Townsend,31,1991/07/16,England,Midfielder,Crystal Palace,3018,4,0,6,0,0,1,0
Andy Carroll,33,1989/01/06,England,Forward,West Ham United,454,0,0,0,0,0,2,0
Angel Gomes,22,2000/08/31,England,Midfielder,Manchester United,25,0,0,0,0,0,0,0
Angelo Ogbonna,34,1988/05/23,Italy,Defender,West Ham United,1870,1,0,1,0,0,2,0
Angus Gunn,26,1996/01/22,England,Goalkeeper,Southampton,1080,0,0,0,0,0,0,0
Anthony Driscoll Glennon,22,1999/11/26,England,Defender,Burnley,0,0,0,0,0,0,0,0
Anthony Knockaert,30,1991/11/20,France,Midfielder,Brighton & Hove Albion,1832,6,0,2,0,0,5,1
Anthony Martial,26,1995/12/05,France,Forward,Manchester United,1623,2,0,10,1,0,2,0
Antonio Barreca,27,1995/03/18,Italy,Defender,Newcastle United,4,0,0,0,0,0,0,0
Antonio Rüdiger,29,1993/03/03,Germany,Defender,Chelsea,2874,0,0,1,0,0,7,0
Antonio Valencia,37,1985/08/04,Ecuador,Defender,Manchester United,466,0,0,0,0,0,2,0
Arijanet Muric,23,1998/11/07,Montenegro,Goalkeeper,Manchester City,0,0,0,0,0,0,0,0
Aron Einar Gunnarsson,33,1989/04/22,Iceland,Midfielder,Cardiff City,2274,1,0,1,0,0,5,0
Arthur Masuaku,28,1993/11/07,France,Defender,West Ham United,1756,1,0,0,0,0,2,0
Artur Boruc,42,1980/02/20,Poland,Goalkeeper,AFC Bournemouth,1080,0,0,0,0,0,2,0
Ashley Barnes,32,1989/10/30,England,Forward,Burnley,2400,2,0,12,2,0,8,0
Ashley Westwood,32,1990/04/01,England,Midfielder,Burnley,2822,7,0,2,0,0,5,0
Ashley Young,37,1985/07/09,England,Midfielder,Manchester United,2568,2,0,2,0,0,10,1
Asmir Begović,35,1987/06/20,Bosnia and Herzegovina,Goalkeeper,AFC Bournemouth,2160,0,0,0,0,0,0,0
Aymeric Laporte,28,1994/05/27,France,Defender,Manchester City,3057,3,0,3,0,0,3,0
Ayoze Perez,29,1993/07/29,Spain,Forward,Newcastle United,2929,2,0,12,0,0,2,0
Bakary Sako,34,1988/04/26,Mali,Midfielder,Crystal Palace,25,0,0,0,0,0,0,0
Ben Chilwell,25,1996/12/21,England,Defender,Leicester City,3240,4,0,0,0,0,4,0
Ben Davies,29,1993/04/24,Wales,Defender,Tottenham Hotspur,1839,0,0,0,0,0,2,0
Ben Foster,39,1983/04/03,England,Goalkeeper,Watford,3420,0,0,0,0,0,1,0
Ben Gibson,29,1993/01/15,England,Defender,Burnley,63,0,0,1,0,0,1,0
Ben Hamer,34,1987/11/20,England,Goalkeeper,Huddersfield Town,553,0,0,0,0,0,0,0
Ben Mee,33,1989/09/21,England,Defender,Burnley,3420,2,0,0,0,0,9,0
Ben White,25,1997/10/08,England,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Ben Wilmot,23,1999/11/04,England,Defender,Watford,26,0,0,0,0,0,0,0
Benjamin Johnson,22,2000/01/24,England,Forward,West Ham United,63,0,0,0,0,0,0,0
Benjamin Mendy,28,1994/07/17,France,Defender,Manchester City,900,5,0,0,0,0,1,0
Beram Kayal,34,1988/05/02,Israel,Midfielder,Brighton & Hove Albion,934,1,0,1,0,0,4,0
Bernard Anício Caldeira Duarte,30,1992/09/08,Brazil,Midfielder,Everton,2128,3,0,1,0,0,5,0
Bernardo,27,1995/05/14,Brazil,Defender,Brighton & Hove Albion,1750,1,0,0,0,0,4,0
Bernardo Silva,28,1994/08/10,Portugal,Midfielder,Manchester City,2853,7,0,7,0,0,3,0
Bernd Leno,30,1992/03/04,Germany,Goalkeeper,Arsenal,2835,0,0,0,0,0,0,0
Bobby Reid,29,1993/02/02,England,Midfielder,Cardiff City,1422,2,0,5,1,0,0,0
Brian Murphy,39,1983/05/07,Republic of Ireland,Goalkeeper,Cardiff City,0,0,0,0,0,0,0,0
Bright Enobakhare,24,1998/02/08,England,Forward,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Bruno Écuélé Manga,34,1988/07/16,Gabon,Defender,Cardiff City,3375,1,0,0,0,0,0,0
Bruno Saltor Grau,42,1980/10/01,Spain,Defender,Brighton & Hove Albion,1136,1,0,0,0,0,2,0
Caglar Söyüncü,26,1996/05/23,Turkey,Defender,Leicester City,371,0,0,0,0,0,1,0
Callum Hudson Odoi,21,2000/11/07,England,Midfielder,Chelsea,391,1,0,0,0,0,0,0
Callum Paterson,28,1994/10/13,Scotland,Defender,Cardiff City,1996,1,0,4,0,0,4,0
Callum Roberts,25,1997/04/14,England,Forward,Newcastle United,0,0,0,0,0,0,0,0
Callum Slattery,23,1999/02/08,England,Midfielder,Southampton,110,0,0,0,0,0,0,0
Callum Wilson,30,1992/02/27,England,Forward,AFC Bournemouth,2535,9,0,14,1,1,3,0
Calum Chambers,27,1995/01/20,England,Defender,Fulham,2587,0,0,2,0,0,9,0
Cameron John,23,1999/08/24,England,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Carl Jenkinson,30,1992/02/08,England,Defender,Arsenal,166,0,0,0,0,0,0,0
Carlos Sánchez,36,1986/02/06,Colombia,Midfielder,West Ham United,240,0,0,0,0,0,0,0
Cedric Soares,31,1991/08/31,Portugal,Defender,Southampton,1494,2,0,1,0,0,4,0
Cenk Tosun,31,1991/06/07,Turkey,Forward,Everton,1050,3,0,3,0,0,3,0
Cesar Azpilicueta,33,1989/08/28,Spain,Defender,Chelsea,3403,5,0,1,0,0,4,0
Cesc Fabregas,35,1987/05/04,Spain,Midfielder,Chelsea,175,0,0,0,0,0,1,0
Charlie Austin,33,1989/07/05,England,Forward,Southampton,980,2,0,2,0,1,1,0
Charlie Daniels,36,1986/09/07,England,Defender,AFC Bournemouth,1583,0,0,1,0,0,4,0
Charlie Taylor,29,1993/09/18,England,Defender,Burnley,3240,1,0,0,0,0,2,0
Cheikhou Kouyaté,32,1989/12/21,Senegal,Midfielder,Crystal Palace,1897,2,0,0,0,0,3,0
Chris Löwe,33,1989/04/16,Germany,Defender,Huddersfield Town,2056,2,0,0,0,0,2,0
Chris Mepham,24,1997/11/05,Wales,Defender,AFC Bournemouth,849,1,0,0,0,0,1,0
Chris Smalling,32,1989/11/22,England,Defender,Manchester United,2128,0,0,1,0,0,1,0
